"Sample","Cluster"
"TCGA-AR-A0U2-01A",5
"TCGA-BH-A0DI-01A",4
"TCGA-A7-A13F-01A",1
"TCGA-5T-A9QA-01A",1
"TCGA-BH-A0BC-01A",3
"TCGA-A7-A26E-01A",3
"TCGA-D8-A1Y1-01A",5
"TCGA-A2-A259-01A",3
"TCGA-A2-A4S3-01A",5
"TCGA-OL-A5RX-01A",3
"TCGA-UU-A93S-01A",4
"TCGA-AR-A2LQ-01A",4
"TCGA-BH-A0DH-01A",1
"TCGA-B6-A0RP-01A",3
"TCGA-E9-A2JS-01A",5
"TCGA-B6-A0RT-01A",4
"TCGA-EW-A1PD-01A",5
"TCGA-S3-AA17-01A",1
"TCGA-BH-A42V-01A",4
"TCGA-AO-A12G-01A",3
"TCGA-E9-A22G-01A",2
"TCGA-AR-A24K-01A",3
"TCGA-GM-A2DN-01A",4
"TCGA-A2-A0CK-01A",3
"TCGA-EW-A1J5-01A",1
"TCGA-D8-A27L-01A",3
"TCGA-AR-A1AO-01A",4
"TCGA-GM-A2DI-01A",4
"TCGA-LL-A9Q3-01A",1
"TCGA-GM-A2DB-01A",5
"TCGA-D8-A1XF-01A",1
"TCGA-AO-A12E-01A",1
"TCGA-D8-A1XZ-01A",5
"TCGA-EW-A1P8-01A",2
"TCGA-AC-A2FG-01A",3
"TCGA-E9-A1RH-01A",5
"TCGA-EW-A6SD-01A",1
"TCGA-E9-A1R3-01A",5
"TCGA-E2-A56Z-01A",1
"TCGA-BH-A1FE-01A",4
"TCGA-E9-A22A-01A",5
"TCGA-BH-A0BA-01A",1
"TCGA-OL-A5DA-01A",3
"TCGA-BH-A209-01A",4
"TCGA-AR-A254-01A",5
"TCGA-GM-A4E0-01A",4
"TCGA-AR-A1AY-01A",2
"TCGA-AR-A24W-01A",3
"TCGA-D8-A1Y3-01A",5
"TCGA-D8-A1XT-01A",5
"TCGA-A2-A0EP-01A",4
"TCGA-B6-A0RU-01A",4
"TCGA-AC-A2BK-01A",2
"TCGA-AR-A0U4-01A",2
"TCGA-A7-A3RF-01A",4
"TCGA-A2-A0YI-01A",3
"TCGA-E2-A14N-01A",4
"TCGA-D8-A1JP-01A",5
"TCGA-AR-A2LL-01A",5
"TCGA-E2-A1L7-01A",5
"TCGA-A7-A6VX-01A",1
"TCGA-D8-A27K-01A",3
"TCGA-E9-A1R2-01A",5
"TCGA-A2-A4S1-01A",5
"TCGA-BH-A1ET-01A",3
"TCGA-A7-A4SD-01A",2
"TCGA-C8-A1HM-01A",5
"TCGA-EW-A1OZ-01A",1
"TCGA-A7-A2KD-01A",5
"TCGA-A2-A0T0-01A",2
"TCGA-E9-A1RB-01A",5
"TCGA-E9-A3X8-01A",3
"TCGA-C8-A3M7-01A",3
"TCGA-E2-A10C-01A",1
"TCGA-BH-A1EW-01A",5
"TCGA-EW-A6SC-01A",1
